name,badge,discount,old_price,price,product_url,category,brand
BABOLAT VIPER JUAN LEBRON 2025,,21,379.95,299.95,https://www.padelnuestro.com/int/babolat-technical-viper-juan-lebron-2025,padel-rackets,Babolat
BABOLAT TECHNICAL VERON JUAN LEBRÓN 2025,,20,259.95,207.95,https://www.padelnuestro.com/int/babolat-technical-veron-juan-lebron-2025,padel-rackets,Babolat
BABOLAT TECHNICAL VERTUO JUAN LEBRÓN 2025,,20,199.95,159.95,https://www.padelnuestro.com/int/babolat-technical-vertuo-juan-lebron-2025,padel-rackets,Babolat
BABOLAT TECHNICAL VIPER 2025,,20,320,255.95,https://www.padelnuestro.com/int/babolat-technical-viper-2025,padel-rackets,Babolat
BABOLAT TECHNICAL VERON 2025,,21,239.95,189.95,https://www.padelnuestro.com/int/babolat-technical-veron-2025,padel-rackets,Babolat
BABOLAT TECHNICAL VERTUO 2025,,22,179.95,139.95,https://www.padelnuestro.com/int/babolat-technical-vertuo-2025,padel-rackets,Babolat
BABOLAT AIR VIPER 2025,,29,320,225.95,https://www.padelnuestro.com/int/babolat-air-viper-2025,padel-rackets,Babolat
BABOLAT AIR VERON 2025,,21,240,189.95,https://www.padelnuestro.com/int/babolat-air-veron-2025,padel-rackets,Babolat
BABOLAT AIR VERTUO 2025,,22,179.95,139.95,https://www.padelnuestro.com/int/babolat-air-vertuo-2025,padel-rackets,Babolat
BABOLAT COUNTER VIPER 2025,,27,320,232.95,https://www.padelnuestro.com/int/babolat-counter-viper-2025,padel-rackets,Babolat
BABOLAT COUNTER VERON 2025,,27,239.95,174.95,https://www.padelnuestro.com/int/babolat-counter-veron-2025,padel-rackets,Babolat
BABOLAT COUNTER VERTUO 2025,,19,179.95,144.95,https://www.padelnuestro.com/int/babolat-counter-vertuo-2025,padel-rackets,Babolat
BABOLAT STIMA ENERGY 2023,,35,240,154.95,https://www.padelnuestro.com/int/babolat-stima-energy-2023-103650-p,padel-rackets,Babolat
BABOLAT TECHNICAL VIPER JUAN LEBRON 2024,,45,379.95,209.95,https://www.padelnuestro.com/int/babolat-technical-viper-juan-lebron-2024-110461-p,padel-rackets,Babolat
BABOLAT TECH VERON JUAN LEBRÓN 2024,,50,259.95,129.95,https://www.padelnuestro.com/int/babolat-tech-veron-juan-lebron-2024-110459-p,padel-rackets,Babolat
BABOLAT TECHNICAL VIPER 2024,,55,319.95,144.95,https://www.padelnuestro.com/int/babolat-technical-viper-2024-110465-p,padel-rackets,Babolat
BABOLAT TECHNICAL VERON 2024,,50,239.95,119.95,https://www.padelnuestro.com/int/babolat-technical-veron-2024-110463-p,padel-rackets,Babolat
BABOLAT COUNTER VERON 2024,,50,239.95,119.95,https://www.padelnuestro.com/int/babolat-counter-veron-2024-110453-p,padel-rackets,Babolat
BABOLAT TECHNICAL VERTUO 2023,,50,179.95,89.95,https://www.padelnuestro.com/int/babolat-technical-vertuo-2023-103652-p,padel-rackets,Babolat
BABOLAT COUNTER VERTUO 2023,,50,179.95,89.95,https://www.padelnuestro.com/int/babolat-counter-vertuo-2023-103646-p,padel-rackets,Babolat
BABOLAT COUNTER VERTUO 2022,,33,150,99.95,https://www.padelnuestro.com/int/babolat-counter-vertuo-2022-25926-p,padel-rackets,Babolat
BABOLAT REVEAL 2022,,44,80,44.95,https://www.padelnuestro.com/int/babolat-reveal-2022-29150-p,padel-rackets,Babolat
BABOLAT X LAMBORGHINI BL002 SCANDAL GREEN,,0,,600,https://www.padelnuestro.com/int/babolat-x-lamborghini-bl002-scandal-green,padel-rackets,Babolat
BABOLAT X LAMBORGHINI BL002 BLACK,,0,,600,https://www.padelnuestro.com/int/babolat-x-lamborghini-bl-002-black,padel-rackets,Babolat
BABOLAT DYNA ENERGY 2023,Out of stock,33,240,159.95,https://www.padelnuestro.com/int/babolat-dyna-energy-2023-103648-p,padel-rackets,Babolat
BABOLAT AIR VIPER 2024,Out of stock,44,319.95,179.95,https://www.padelnuestro.com/int/babolat-air-viper-2024-110451-p,padel-rackets,Babolat
Babolat Air Vertuo 2022,Out of stock,40,150,89.95,https://www.padelnuestro.com/int/babolat-air-vertuo-2022-25925-p,padel-rackets,Babolat
TEST PADEL RACKET BABOLAT AIR VERON 2025,Out of stock,10,240,215.95,https://www.padelnuestro.com/int/test-padel-racket-babolat-air-veron-2025,padel-rackets,Babolat
BABOLAT AIR VERTUO 2023,Out of stock,50,179.95,89.95,https://www.padelnuestro.com/int/babolat-air-vertuo-2023-103664-p,padel-rackets,Babolat
