name,badge,discount,old_price,price,product_url,brand
Babolat Pure Drive 2025 Racket,Reduced,15,269.95,228.9,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_2025_Racket_/descpageRCQBA-BPD25R-EN.html,Babolat
Babolat Pure Drive Racket Wimbledon 2025,New,,,279.91,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Racket_Wimbledon_2025/descpageRCQBA-BPDW-EN.html,Babolat
Babolat Pure Drive Team 2025 Racket,Reduced,11,,212.9,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Team_2025_Racket_/descpageRCQBA-BRPTR-EN.html,Babolat
Babolat Pure Drive 98 2025 Racket,Reduced,20,,239.9,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_98_2025_Racket/descpageRCQBA-PD98R-EN.html,Babolat
Babolat Pure Drive 98 2025 Racket x2,Reduced,10,599.95,539.9,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_98_2025_Racket_x2/descpageRCQBA-PD98D-EN.html,Babolat
Babolat Pure Drive Plus 2025 Racket,Reduced,10,,242.9,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Plus_2025_Racket_/descpageRCQBA-BPDPR-EN.html,Babolat
Babolat Pure Drive 107 2025 Racket,Reduced,11,249.95,221.9,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_107_2025_Racket_/descpageRCQBA-BPD17R-EN.html,Babolat
Babolat Pure Drive Lite 2025 Racket,Reduced,11,,203.89,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Lite_2025_Racket_/descpageRCQBA-BPDLR-EN.html,Babolat
Babolat Pure Drive Super Lite 2025 Racket,Reduced,10,,197.9,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Super_Lite_2025_Racket_/descpageRCQBA-BPDSLR-EN.html,Babolat
Babolat Pure Drive 98 Racket,Sale,58,279.95,116.91,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_98_Racket/descpageRCQBA-PD98U-EN.html,Babolat
Babolat Pure Drive Plus Racket,Sale,30,249.95,174.91,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Plus_Racket_/descpageRCQBA-BRPDP-EN.html,Babolat
Babolat Pure Aero 98 (SINGLE) Racket,Reduced,21,299.95,234.91,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_98_SINGLE_Racket/descpageRCQBA-BPAR98-EN.html,Babolat
Babolat Pure Aero 98 x2 Racket,Reduced,20,599.95,479.9,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_98_x2_Racket/descpageRCQBA-BPAD98-EN.html,Babolat
Babolat Pure Aero Racket 2023,Best Seller,,279.95,223.89,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Racket_2023/descpageRCQBA-BPAR22-EN.html,Babolat
